aaa,9937214,9181,184,329
aab,9953867,8322,57,86
aac,9980327,8573,45,82
aad,9949137,7941,232,457
aae,9959608,9845,23,73
aaf,9583876,7806,61,98
aag,9934015,9927,220,424
aba,9827126,9842,6,16
abb,9944426,8178,148,248
abc,9778624,9192,5,7
abd,9710285,9436,70,229
abe,9889346,9259,152,229
abf,9724728,9614,56,110
abg,9818633,8699,55,123
aca,9923826,8308,154,334
acb,9812304,9645,387,542
acc,9725094,8054,99,153
acd,9842293,8460,147,274
ace,9998252,9187,126,193
acf,9961326,8093,5,7
acg,9520635,7912,67,115
ada,9804696,8668,216,347
adb,9960271,8708,243,380
adc,9973652,9148,42,173
add,9854420,9192,129,296
ade,9998221,9880,204,276
adf,9778388,9573,103,219
adg,9701862,8881,14,49
aea,9638974,10473,406,730
aeb,9928916,10193,133,204
aec,9379121,8578,81,216
aed,9631751,10322,29,85
aee,9709798,9746,109,204
aef,9944550,8067,245,436
aeg,9916886,9550,8,25
afa,9715472,8478,55,133
afb,9795137,9068,348,1134
afc,9893216,9806,176,268
afd,9778464,9132,51,145
afe,9826584,8654,20,39
aff,9851792,9345,181,268
afg,9796675,8389,20,52
aga,9974019,10823,67,145
agb,9213206,8967,199,338
agc,9598655,7799,80,219
agd,9754939,9381,49,118
age,9933973,8414,148,274
agf,9994299,7763,207,368
agg,9942086,6195,107,246
baa,9908644,7900,279,375
bab,9991623,9383,5,10
bac,9689097,8304,114,187
bad,9298557,9029,440,697
bae,9965540,9639,145,340
baf,9989932,9522,256,359
bag,9984329,7285,204,328
bba,9644582,9111,178,243
bbb,9943969,8413,159,222
bbc,9893418,8101,169,281
bbd,9994627,7877,28,63
bbe,9770427,8850,381,713
bbf,9683037,9319,25,154
bbg,9414876,10676,221,400
bca,9050555,9760,96,238
bcb,9924470,9848,13,28
bcc,9801361,10063,56,146
bcd,9815274,9162,28,73
bce,9961655,9752,81,130
bcf,9948088,9638,30,59
bcg,9877722,9823,160,388
bda,9802601,7836,147,227
bdb,9902067,8151,71,116
bdc,9962880,8163,71,170
bdd,9943236,9634,173,398
bde,9784997,10626,36,97
bdf,9892905,9991,268,415
bdg,9411339,8429,105,201
bea,9889627,8183,6,12
beb,9706481,9249,30,78
bec,9819096,6424,79,145
bed,9897967,8230,201,303
bee,9331614,9582,160,264
bef,9721872,9171,89,192
beg,9953171,7907,33,71
bfa,9972392,8410,113,188
bfb,9949706,7675,257,343
bfc,9689497,9631,11,39
bfd,9989166,10047,126,215
bfe,9901092,9219,23,36
bff,9919410,8231,22,60
bfg,9826472,8673,124,254
bga,9954221,9258,87,149
bgb,9845042,10994,94,187
bgc,9936631,8148,42,114
bgd,9926848,8742,70,135
bge,9835098,7688,12,40
bgf,9967205,8039,92,224
bgg,9982247,9114,136,222
caa,9610204,8097,331,672
cab,9895900,8360,19,51
cac,9985107,7735,34,114
cad,9925192,7699,90,275
cae,9866339,7154,278,406
caf,9694087,9263,34,64
cag,9978619,8689,138,213
cba,9668915,8820,291,512
cbb,9937408,8477,99,150
cbc,9663098,10392,50,160
cbd,9924565,9497,282,459
cbe,9795191,8192,11,30
cbf,9986040,8575,25,70
cbg,9752953,8391,165,341
cca,9896245,8485,52,78
ccb,9956884,9059,36,64
ccc,9844832,9226,83,241
ccd,9989695,10307,39,82
cce,9939301,10289,205,336
ccf,9901882,9251,58,122
ccg,9998707,9648,107,204
cda,9931025,7235,40,101
cdb,9830384,6539,144,274
cdc,9785804,9579,71,198
cdd,9919541,8413,91,239
cde,9729247,8052,97,168
cdf,9870407,8801,5,5
cdg,9895553,9982,52,262
cea,9972555,7422,298,486
ceb,9970878,8796,10,40
cec,9990561,9409,63,129
ced,9929973,9343,60,136
cee,9731527,8469,374,646
cef,9486032,8774,69,143
ceg,9863993,9558,36,112
cfa,9850481,8434,208,292
cfb,9914799,9404,231,409
cfc,9954820,7631,330,501
cfd,9985134,8067,394,632
cfe,9890358,7904,86,247
cff,9883979,8662,299,459
cfg,9734180,10535,62,93
cga,9877892,8750,16,60
cgb,9743303,9160,128,220
cgc,9868190,8731,268,453
cgd,9990943,10358,44,164
cge,9838134,8484,111,230
cgf,9942943,8496,109,181
cgg,9625302,8789,34,73
daa,9938287,8904,100,160
dab,9824908,8267,206,310
dac,9913937,8268,47,93
dad,9529343,8007,94,195
dae,9675898,9077,151,245
daf,9744029,7339,285,497
dag,9912898,9470,61,167
dba,9988032,8678,56,111
dbb,9907163,10144,469,728
dbc,9923070,8062,137,255
dbd,9952253,7637,165,272
dbe,9790559,9859,106,240
dbf,9980595,8071,278,500
dbg,9870640,7752,240,593
dca,9930526,7378,226,324
dcb,9964881,8552,113,196
dcc,9938101,9276,8,18
dcd,9947556,8393,15,41
dce,9960920,10066,219,412
dcf,9974278,7525,34,59
dcg,9963406,8633,187,264
dda,9985129,9665,7,18
ddb,9920071,9061,120,312
ddc,9682248,9229,121,237
ddd,9823675,8454,85,175
dde,9954280,9649,387,553
ddf,9961242,8325,143,258
ddg,9990158,8241,12,45
dea,9990850,7801,86,172
deb,9599951,9230,6,23
dec,9750100,9767,32,108
ded,9907487,9165,5,6
dee,9951253,9399,230,435
def,9847705,10719,78,139
deg,9873813,8948,110,339
dfa,9967240,11415,202,366
dfb,9904336,7928,70,215
dfc,9531654,9913,143,301
dfd,9795718,10052,13,41
dfe,9936111,9314,5,9
dff,9989594,8133,230,429
dfg,9941471,9115,262,390
dga,9984275,9484,64,179
dgb,9885527,9076,40,115
dgc,9926698,6524,12,36
dgd,9708589,8674,120,231
dge,9985909,9122,60,118
dgf,9721899,6925,82,174
dgg,9939811,8115,351,589
eaa,9440745,10155,57,100
eab,9860979,8734,35,96
eac,9521164,7578,19,57
ead,9926086,9301,275,422
eae,9860370,6945,240,391
eaf,9867145,6456,97,197
eag,9759957,9016,162,336
eba,9999564,6872,137,274
ebb,9967064,8568,96,166
ebc,9854330,9630,14,42
ebd,9758073,9406,103,283
ebe,9962401,7806,27,79
ebf,9982198,7825,45,82
ebg,9997596,9553,97,220
eca,9924496,6997,151,315
ecb,9971388,9837,45,91
ecc,9998971,10575,168,254
ecd,9641375,8575,81,237
ece,9438895,8632,67,141
ecf,9985783,10079,176,334
ecg,9963585,8506,213,347
eda,9601295,9022,73,153
edb,9920840,10490,14,54
edc,9756809,9887,280,629
edd,9774696,10671,17,35
ede,9909335,9917,16,49
edf,9962706,9498,177,304
edg,9990308,8438,328,510
eea,9938457,8267,42,116
eeb,9843308,8765,118,223
eec,9832967,7974,86,156
eed,9488232,7718,179,300
eee,9947394,7993,19,61
eef,9462336,7539,135,329
eeg,9743255,8387,228,397
efa,9743312,9464,202,362
efb,9970537,9005,130,333
efc,9933479,9465,257,514
efd,9974608,8413,91,200
efe,9848755,8112,138,226
eff,9901509,8884,337,749
efg,9975681,8905,17,36
ega,9815100,9005,7,24
egb,9988474,8884,8,27
